"pop2023","pop2022","pop2020","pop2010","growth","usps","geoid","ansicode","name","lsad","funcstat","aland","awater","aland_sqmi","awater_sqmi","intptlat","intptlong","slug","metroId","countyfips","state"
196010,0,0,205764,0,"AL",151000,2404289,"Montgomery","2",0,414093000,5965790,159.882,2.303,32.3472,-86.2661,"montgomery-al",33860,"1101","Alabama"
31534,0,0,31275,0,"AK",236400,2419344,"Juneau","5",0,7003260000,1426370000,2703.98,550.726,58.3729,-134.178,"juneau-ak",27940,"2110","Alaska"
1651344,0,0,1445632,0,"AZ",455000,2411414,"Phoenix","2",0,1340770000,3236740,517.673,1.25,33.5722,-112.09,"phoenix-az",38060,"4013","Arizona"
201029,0,0,193524,0,"AR",541000,2404939,"Little Rock","2",0,310777000,7665230,119.992,2.96,34.724,-92.3576,"little-rock-ar",30780,"5119","Arkansas"
528306,0,0,466488,0,"CA",664000,2411751,"Sacramento","2",0,253119000,5591300,97.73,2.159,38.5666,-121.469,"sacramento-ca",40900,"6067","California"
699288,0,0,600158,0,"CO",820000,2410324,"Denver","2",0,397025000,4245400,153.292,1.639,39.7618,-104.881,"denver-co",19740,"8031","Colorado"
119817,0,0,124775,0,"CT",937000,2378277,"Hartford","2",0,45012600,1751550,17.379,0.676,41.7659,-72.6816,"hartford-ct",25540,"9003","Connecticut"
37892,0,0,36047,0,"DE",1021200,2390583,"Dover","2",0,61296300,788869,23.667,0.305,39.1606,-75.5217,"dover-de",20100,"10001","Delaware"
198631,0,0,181376,0,"FL",1270600,2405563,"Tallahassee","2",0,260226000,8345630,100.474,3.222,30.4551,-84.2534,"tallahassee-fl",45220,"12073","Florida"
490270,0,0,420003,0,"GA",1304000,2403126,"Atlanta","2",0,351557000,2684130,135.737,1.036,33.7629,-84.4227,"atlanta-ga",12060,"13121|13089|13067","Georgia"
337088,0,0,337256,0,"HI",1571550,2630783,"Honolulu","5",0,156807000,20487500,60.544,7.91,21.3243,-157.848,"honolulu-hi",0,"15003","Hawaii"
240713,0,0,205671,0,"ID",1608830,2409876,"Boise","2",0,216714000,2489870,83.674,0.961,43.6021,-116.231,"boise-id",14260,"16001","Idaho"
111711,0,0,116250,0,"IL",1772000,2395940,"Springfield","2",0,157843000,16288300,60.943,6.289,39.7208,-89.7056,"springfield-il",44100,"17167","Illinois"
871449,0,0,820445,0,"IN",1836003,2395424,"Indianapolis","0",0,936465000,16419900,361.571,6.34,39.7767,-86.1459,"indianapolis-in",26900,"18097","Indiana"
208734,0,0,203433,0,"IA",1921000,2394522,"Des Moines","2",0,228385000,6420720,88.18,2.479,41.5726,-93.6102,"des-moines-ia",19780,"19153","Iowa"
125353,0,0,127473,0,"KS",2071000,485655,"Topeka","2",0,159135000,3398160,61.443,1.312,39.0347,-95.6948,"topeka-ks",45820,"20177","Kansas"
28523,0,0,25527,0,"KY",2128900,2403656,"Frankfort","2",0,38244000,778023,14.766,0.3,38.195,-84.8659,"frankfort-ky",23180,"21073","Kentucky"
217665,0,0,229493,0,"LA",2205000,2403821,"Baton Rouge","2",0,223903000,5708640,86.449,2.204,30.4422,-91.1309,"baton-rouge-la",12940,"22033","Louisiana"
19058,0,0,19136,0,"ME",2302100,582334,"Augusta","2",0,142831000,7482140,55.147,2.889,44.3349,-69.7342,"augusta-me",12300,"23011","Maine"
40397,0,0,38394,0,"MD",2401600,2390562,"Annapolis","2",0,18668800,2344090,7.208,0.905,38.9722,-76.5053,"annapolis-md",0,"24003","Maryland"
617459,0,0,617594,0,"MA",2507000,619463,"Boston","2",0,125197000,106914000,48.339,41.28,42.3386,-71.0182,"boston-ma",0,"25025","Massachusetts"
112460,0,0,114297,0,"MI",2646000,1626588,"Lansing","2",0,101497000,1659270,39.188,0.641,42.7143,-84.5609,"lansing-mi",29620,"26065|26045","Michigan"
299830,0,0,285068,0,"MN",2758000,2396511,"St. Paul","2",0,134622000,10925900,51.978,4.219,44.9489,-93.1041,"st-paul-mn",33460,"27123","Minnesota"
143776,0,0,173514,0,"MS",2836000,2404779,"Jackson","2",0,287712000,5558330,111.086,2.146,32.3158,-90.2128,"jackson-ms",27140,"28049|28089","Mississippi"
42535,0,0,43079,0,"MO",2937000,2395462,"Jefferson City","2",0,93379200,4133440,36.054,1.596,38.5675,-92.1753,"jefferson-city-mo",27620,"29051|29027","Missouri"
34690,0,0,28190,0,"MT",3035600,2410734,"Helena","2",0,43565700,98206,16.821,0.038,46.5955,-112.019,"helena-mt",25740,"30049","Montana"
